15.3539 	EXP 	New trial (rep=9, index=0): None
15.3570 	DATA 	Keypress: down
15.3668 	EXP 	fixation: autoDraw = False
15.3668 	EXP 	grating: autoDraw = False
15.3668 	EXP 	grating: ori = -4.0
15.3668 	EXP 	fixation: autoDraw = True
16.3658 	EXP 	grating: autoDraw = True
16.3795 	EXP 	fixation: autoDraw = False
16.6796 	EXP 	grating: autoDraw = False
16.8362 	EXP 	New trial (rep=10, index=0): None
16.8391 	DATA 	Keypress: down
16.8492 	EXP 	fixation: autoDraw = False
16.8492 	EXP 	grating: autoDraw = False
16.8492 	EXP 	grating: ori = 0.0
16.8492 	EXP 	fixation: autoDraw = True
17.8451 	EXP 	fixation: autoDraw = False
17.8451 	EXP 	grating: autoDraw = True
18.1447 	EXP 	grating: autoDraw = False
18.5682 	EXP 	New trial (rep=11, index=0): None
18.5711 	DATA 	Keypress: up
18.5803 	EXP 	fixation: autoDraw = False
18.5803 	EXP 	grating: autoDraw = False
18.5803 	EXP 	grating: ori = 0.0
18.5803 	EXP 	fixation: autoDraw = True
19.5770 	EXP 	fixation: autoDraw = False
19.5770 	EXP 	grating: autoDraw = True
19.8768 	EXP 	grating: autoDraw = False
20.0972 	DATA 	Keypress: up
20.1162 	EXP 	New trial (rep=12, index=0): None
20.1294 	EXP 	fixation: autoDraw = False
20.1294 	EXP 	grating: autoDraw = False
20.1294 	EXP 	grating: ori = 0.0
20.1294 	EXP 	fixation: autoDraw = True
21.1256 	EXP 	fixation: autoDraw = False
21.1256 	EXP 	grating: autoDraw = True
21.4254 	EXP 	grating: autoDraw = False
21.6818 	EXP 	New trial (rep=13, index=0): None
21.6840 	DATA 	Keypress: up
21.6949 	EXP 	fixation: autoDraw = False
21.6949 	EXP 	grating: autoDraw = False
21.6949 	EXP 	grating: ori = 0.0
21.6949 	EXP 	fixation: autoDraw = True
22.6943 	EXP 	grating: autoDraw = True
22.7080 	EXP 	fixation: autoDraw = False
23.0074 	EXP 	grating: autoDraw = False
23.1765 	DATA 	Keypress: up
23.1966 	EXP 	New trial (rep=14, index=0): None
23.2102 	EXP 	fixation: autoDraw = False
23.2102 	EXP 	grating: autoDraw = False
23.2102 	EXP 	grating: ori = 0.0
23.2102 	EXP 	fixation: autoDraw = True
24.2093 	EXP 	grating: autoDraw = True
24.2231 	EXP 	fixation: autoDraw = False
24.5226 	EXP 	grating: autoDraw = False
24.8290 	EXP 	New trial (rep=15, index=0): None
24.8311 	DATA 	Keypress: up
24.8418 	EXP 	fixation: autoDraw = False
24.8418 	EXP 	grating: autoDraw = False
24.8418 	EXP 	grating: ori = 0.0
24.8418 	EXP 	fixation: autoDraw = True
25.8383 	EXP 	fixation: autoDraw = False
25.8383 	EXP 	grating: autoDraw = True
26.1380 	EXP 	grating: autoDraw = False
26.3109 	EXP 	New trial (rep=16, index=0): None
26.3130 	DATA 	Keypress: up
26.3238 	EXP 	fixation: autoDraw = False
26.3238 	EXP 	grating: autoDraw = False
26.3238 	EXP 	grating: ori = 0.0
26.3238 	EXP 	fixation: autoDraw = True
27.3202 	EXP 	fixation: autoDraw = False
27.3202 	EXP 	grating: autoDraw = True
27.6199 	EXP 	grating: autoDraw = False
27.9436 	EXP 	New trial (rep=17, index=0): None
27.9467 	DATA 	Keypress: up
27.9563 	EXP 	fixation: autoDraw = False
27.9563 	EXP 	grating: autoDraw = False
27.9563 	EXP 	grating: ori = -1.0
27.9563 	EXP 	fixation: autoDraw = True
28.9522 	EXP 	fixation: autoDraw = False
28.9522 	EXP 	grating: autoDraw = True
29.2522 	EXP 	grating: autoDraw = False
