stair.thisTrialN,stair.stepSize,stair.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,2,10.0,10.609096800093539,11.16156120004598,11.16156120004598,11.178675700095482,11.462666300009005,right,10.0,1,1,46.153684399905615,236894,001,2023-09-07_11h17.39.716,Staircase Final Experiment,2023.1.3,60.174518149419804,
1,2,8.0,11.861029700026847,12.344205100089312,12.344205100089312,12.360976800089702,12.643784000072628,left,-8.0,1,1,46.22512790001929,236894,001,2023-09-07_11h17.39.716,Staircase Final Experiment,2023.1.3,60.174518149419804,
2,2,6.0,13.127181500080042,13.627025300054811,13.627025300054811,13.627025300054811,13.926859800005332,left,-6.0,1,1,46.03644399996847,236894,001,2023-09-07_11h17.39.716,Staircase Final Experiment,2023.1.3,60.174518149419804,
3,2,4.0,14.209738400066271,14.708951800013892,14.708951800013892,14.725407700054348,15.008630400057882,right,4.0,1,1,48.11694360000547,236894,001,2023-09-07_11h17.39.716,Staircase Final Experiment,2023.1.3,60.174518149419804,
4,2,2.0,17.37362990004476,17.872831400018185,17.872831400018185,17.872831400018185,18.172732800012454,right,2.0,1,1,46.10380519996397,236894,001,2023-09-07_11h17.39.716,Staircase Final Experiment,2023.1.3,60.174518149419804,
5,2,1.0,18.522479200037196,19.021814899984747,19.021814899984747,19.021814899984747,19.322059600031935,right,1.0,1,1,46.20091650006361,236894,001,2023-09-07_11h17.39.716,Staircase Final Experiment,2023.1.3,60.174518149419804,
6,2,1.0,19.77143680001609,20.270453500095755,20.270453500095755,20.270453500095755,20.570253200014122,right,1.0,1,1,46.09844670002349,236894,001,2023-09-07_11h17.39.716,Staircase Final Experiment,2023.1.3,60.174518149419804,
7,2,1.0,20.919711000053212,21.419767400017008,21.419767400017008,21.419767400017008,21.71925339999143,left,-1.0,1,1,46.386271800030954,236894,001,2023-09-07_11h17.39.716,Staircase Final Experiment,2023.1.3,60.174518149419804,
8,2,1.0,22.35256890009623,22.85257059999276,22.85257059999276,22.85257059999276,23.168490200070664,left,-1.0,1,1,48.600190500030294,236894,001,2023-09-07_11h17.39.716,Staircase Final Experiment,2023.1.3,60.174518149419804,
9,2,1.0,25.9987501000287,26.498446900048293,26.498446900048293,26.498446900048293,26.798530300031416,right,1.0,1,1,47.28608480002731,236894,001,2023-09-07_11h17.39.716,Staircase Final Experiment,2023.1.3,60.174518149419804,
